experience/0/company,experience/1/company,experience/2/company,experience/3/company,experience/4/company,experience/0/date_range,experience/1/date_range,experience/2/date_range,experience/3/date_range,experience/4/date_range,experience/0/name,experience/1/name,experience/2/name,experience/3/name,experience/4/name,education/0,education/1,education/2,position
wistron,taiwan chiayi district prosecutors office,none,none,none,"Dates Employed
May 2018 – Present","Dates Employed
Oct 2013 – Sep 2014",,,,"machine,learning,engineer","alternative,military,service",none,none,none,national chung cheng university,national cheng kung university,none,"wistron,information,technology,machine,learning,engineer"
taiwan water corporation,national chiao tung university,none,none,none,"Dates Employed
2012 – Present","Dates Employed
2010 – 2012",,,,"data,scientist","deputy,research,engineer",none,none,none,national taiwan university,national chiao tung university,tokyo institute of technology,"data,scientist,machine,learning,engineer"
institute for information industry,national taiwan university of science and technology,tata consultancy services limited,none,none,"Dates Employed
Mar 2020 – Present","Dates Employed
Feb 2018 – Jan 2020","Dates Employed
Jan 2014 – Jan 2018",,,"data,science,researcher","master,student","system,engineer",none,none,national taiwan university of science and technology,"basaveshwar engineering college, bagalkot (qip center)",none,"machine,learning,deep,learning,cloud,big,data,analytics,experienced,in,developing,ai,solutions"
viscovery,ubiti,viscovery,altek coporation,none,"Dates Employed
Nov 2018 – Present","Dates Employed
Nov 2017 – Nov 2018","Dates Employed
Mar 2015 – May 2017","Dates Employed
Dec 2011 – Mar 2015",,"computer,vision,engineer,machine,learning,engineer","software,engineer,data,science","algorithm,developer","system,software,engineer",none,national tsing hua university,national tsing hua university,none,"computer,vision,engineer,machine,learning,engineer,at,viscovery"
appier,commonwealth magazine group (commonwealth magazine group),national taiwan university,none,none,"Dates Employed
Jul 2020 – Present","Dates Employed
Aug 2019 – Present","Dates Employed
Feb 2019 – Jun 2019",,,"machine,learning,scientist,intern","data,engineering,intern","teaching,assistant",none,none,national taiwan university,national taiwan university,national taiwan university,"machine,learning,scientist,intern,at,appier"
none,none,none,none,none,,,,,,none,none,none,none,none,national cheng kung university,ming chuan university,none,"technical,product,manager,at,mitac"
everfortune.ai,institute for information industry,quupe,none,none,"Dates Employed
Apr 2019 – Present","Dates Employed
Mar 2018 – Mar 2019","Dates Employed
Feb 2017 – Jun 2017",,,"machine,learning,engineer,project,manager","graduate,research,assistant","ios,app,developer",none,none,university of york,national taiwan university,the university of british columbia,"machine,learning,engineer,at,everfortune,ai"
digital domain,sercomm,htc,asus,pegatron,"Dates Employed
Jun 2019 – Present","Dates Employed
Feb 2019 – Jun 2019","Dates Employed
Oct 2017 – Jan 2019","Dates Employed
Feb 2014 – Sep 2015","Dates Employed
Oct 2012 – Oct 2013","machine,learning,scientist","senior,engineer","senior,engineer,deepq","senior,engineer","senior,engineer",national taiwan university,national central university,none,"machine,learning,scientist,at,digital,domain"
dell emc,none,none,none,none,"Dates Employed
Aug 2014 – Present",,,,,"senior,principal,engineer",none,none,none,none,the university of texas at austin,national taiwan normal university,oregon state university,"senior,principal,systems,engineer,dell,machine,learning,enthusiast,python,hacker"
ms technologies.,the information industry council,none,none,none,"Dates Employed
2018 – Present","Dates Employed
Feb 2017 – Aug 2017",,,,"software,engineer","data,engineer",none,none,none,none,none,none,"software,engineer,machine,learning,at,g4,technology"
ceresa,foresight self-employed,taiwan typhoon and flood research institute(tfri),"center of corporate social responsibility, national taipei university",澳新銀行,"Dates Employed
Jul 2018 – Present","Dates Employed
Dec 2018 – Present","Dates Employed
Jun 2017 – Aug 2017","Dates Employed
Jul 2016 – Aug 2016","Dates Employed
Jul 2015","data,scientist","machine,learning,researcher,computer,vision","research,assistant","project,assistant",intern,london school of economics and political science,國立臺北大學,none,"ceresus,data,scientist,machine,learning,researcher"
taipei medical university,perixx computer,none,none,none,"Dates Employed
Feb 2017 – Present","Dates Employed
Nov 2014 – Oct 2016",,,,"project,managermachine,learningdata,analyst","machine,learning,engineer",none,none,none,"university of california, berkeley",national taiwan university,none,"data,analyst,machine,learning,project,manager,looking,for,new,challenges,and,opportunities"
infuseai,nexvision ai,nvidia,trend micro,none,"Dates Employed
Apr 2019 – Present","Dates Employed
Aug 2017 – Mar 2019","Dates Employed
Aug 2014 – Jul 2017","Dates Employed
Mar 2012 – Oct 2012",,"software,engineer,machine,learning","software,engineer,artificial,intelligence","software,engineer,automation,and,tool","software,internship,quality,assurance",none,national taiwan university,國立嘉義大學,none,"infuseai,software,engineer,machine,learning"
"mercari, inc.",tomtom,mobowork,foxconn,none,"Dates Employed
Feb 2020 – Present","Dates Employed
2019","Dates Employed
Jan 2018 – Dec 2018","Dates Employed
Dec 2010 – Mar 2012",,"technical,product,manager,ai,machine,learning","product,owner","product,lead,ai,platform,cofounder","technical,project,manager",none,columbia university in the city of new york,"university of california, los angeles",national taiwan university,"product,manager,ai,machine,learning,e,commerce"
